62,Movie,Where Hands Touch,Amma Asante,2019,PG-13,122 min,"Drama, Young Adult Audience",When the daughter of a white German mother and an African father meets a member of the Hitler Youth   compulsory for all Aryan boys in 1944 Germany  they must battle against the fates laid out before them during the most brutal of times 
63,Movie,When the Lights Go On Again,William K  Howard,1944,16+,103 min,"Drama, Military and War",Ted and Arline  a young couple in love  decide to impulsively get married  despite the disapproval of their families  However  soon thereafter  Ted is drafted into the army and sent overseas to war  Months later  after suffering and surviving on the front lines  he is sent back home  suffering from shell shock  On the train ride home  Ted goes through the various memories of his life to cope  Once home  he tries to adjust to married life and his friends and loved ones give him the support and love he needs to fully recover  A heart warming war time story 
65,Movie,When Did You Last See Your Father ,Anand Tucker,2008,PG-13,92 min,"Arthouse, Drama",Based on the award winning novel  When Did You Last See Your Father  is an unflinching exploration of a father son relationship  as Blake Morrison  Colin Firth  deals with his father Arthur s  Jim Broadbent  terminal illness and imminent death 
66,Movie,When a Woman Loves A Man,Jamall Rashaud McMillan,2019,13+,90 min,Drama,Janet and Michael are a young couple trying to balance their life and love with one another  When challenges come up that threaten that bond they have to figure out how to keep their love strong or let it go  They have to figure out what love is 
67,Movie,WHATEVER FATHER,Harold Trompetero,2018,ALL,102 min,Comedy,Matias  a 10 year old runs away from home in a huff and ends up getting on a bus  eventually he get lost  until he is found by Rogelio  a man who works as a clown restaurant 
68,Movie,What Price Crime,Albert Herman,1935,18+,65 min,Suspense,Government agent Allan Grey  Starrett  decides to go undercover to catch a gang of firearms smugglers  Grey poses as an aspiring prizefighter  catching the eye of gang leader Douglas Worthington  Madison   who decides to take Grey under his wing and into his confidence  However  complications occur when Grey falls for Worthington s sister Sondra  Cherrill   and he must choose between his duty and his love for Sondra 
69,Movie,What Comes Around,Jerry Reed,1985,13+,114 min,"Action, Adventure, Comedy",A brother of a successful singer  who has become an alcoholic after 25 years in the business  kidnaps him in order to dry him out  They discover that his manager has cheated him out of 8 million dollars over the years  so they seek revenge 
70,Movie,Western Gold,Howard Bretherton,1937,18+,56 min,"Military and War, Western",Union soldier Bill Gibson  Ballew  is personally sent west by President Lincoln to stop much needed gold shipments from being stolen by Confederate spies  Upon arriving  Bill meets pretty Jeannie Thatcher  Angel   and begins his investigation  Bill is shocked to learn that his old childhood friend Fred Foster  Mason  is the leader of the vicious band of rebel raiders  who never leave a witness alive  Due to this  no one will transport the next gold shipment  and Bill steps up to the task  creating a secret route to ensure the shipment s safety  Fearing for Bill s safety  Jeannie gives Foster information on the secret route  not knowing Foster is the rebel leader  A final showdown between two old friends becomes inevitable  Smith Ballew s first film 
71,Movie,West of Nevada,Robert Hill,1936,NR,59 min,"Action, Comedy, Drama",When a gang tries to rob Haldain  Jim and Walla Walla break it up  Haldain is carrying stuffed animals and Jim s suspicion that they are stuffed with gold is soon confirmed 
73,Movie,Welcome To Kutsher s  The Last Catskills Resort,Caroline Laskow  Ian Rosenberg,2015,13+,70 min,"Documentary, Special Interest",Kutsher s Country Club is the last surviving Jewish resort in the Catskills  Exploring the full Dirty Dancing era Catskills experience   and how it changed American pop culture in the comedy  sports and vacation industries   this award winning documentary captures a last glimpse of a lost world as it disappears before our eyes 
